name,category,sub-category,about
Campina,Sponsor,Food & Beverage,"Campina, Indonesia's leading ice cream manufacturer, has been creating smiles and delighting taste buds for over 50 years. With a wide range of flavors and innovations, Campina has become a household name, synonymous with high-quality, delicious ice cream.

Campina's commitment to quality and innovation has been recognized through numerous awards and certifications, including the Indonesian Top Brand Award for Ice Cream for over 25 consecutive years. The company's products are enjoyed by consumers across Indonesia and are exported to over 10 countries worldwide."
Telkomsel,Sponsor,Telecommunication,"Telkomsel, Indonesia's leading telecommunications provider, has been connecting people and empowering communities for over 25 years. With a robust network spanning over 95% of Indonesia's population, Telkomsel provides a comprehensive range of services, including mobile and fixed-line broadband, voice, and data services. The company has played a pivotal role in Indonesia's digital transformation, driving innovation and accessibility across the country.

Telkomsel's commitment to excellence has been recognized through numerous awards and certifications, including the World Communications Award for Best Mobile Operator in Emerging Markets in 2023. The company continuously invests in its network infrastructure and service innovation, ensuring that Indonesians have access to world-class telecommunications services. Telkomsel is also committed to social responsibility, actively engaging in initiatives that promote digital literacy, education, and community development."
Eiger,Sponsor,Textiles & Apparel,"Eiger, a leading Indonesian outdoor apparel and equipment brand, has been empowering adventurers and outdoor enthusiasts for over 30 years. With a strong commitment to innovation, quality, and sustainability, Eiger has established itself as a trusted brand for outdoor enthusiasts across Indonesia and Southeast Asia.

Eiger's products are designed to meet the demanding needs of outdoor activities, from trekking and mountaineering to casual outdoor pursuits. The brand's commitment to quality and durability has been recognized through numerous awards and certifications, including the Indonesia Top Brand Award for Outdoor Apparel for over 15 consecutive years."
Blibli,Sponsor,E-Commerce,"Blibli, Indonesia's leading e-commerce platform, has been transforming the way Indonesians shop for over a decade. With a comprehensive range of products, seamless shopping experiences, and a commitment to customer satisfaction, Blibli has become a household name, synonymous with convenience and reliability.

Blibli's success lies in its ability to adapt to the evolving needs and preferences of Indonesian consumers. The platform offers a wide array of products, from electronics and fashion to groceries and home essentials, catering to diverse lifestyles and interests. Blibli's commitment to innovation and technology has been recognized through numerous awards and certifications, including the Indonesia Top Brand Award for E-Commerce for over 10 consecutive years."
Kompas Gramedia,Sponsor,Media & Publishing,"Kompas Gramedia, a leading Indonesian media and publishing conglomerate, has been shaping the Indonesian information landscape for over 50 years. With a diverse portfolio of media outlets, publishing houses, and educational institutions, Kompas Gramedia is committed to providing high-quality content, promoting literacy, and nurturing Indonesia's creative talent.

Kompas Gramedia's flagship publication, Harian Kompas, is a widely respected daily newspaper known for its journalistic integrity and in-depth reporting. The group also owns and operates various magazines, radio stations, and online platforms, providing a comprehensive range of news and entertainment to Indonesian audiences. Kompas Gramedia's publishing arm has produced countless books, educational materials, and literary works, contributing significantly to Indonesia's intellectual and cultural landscape."
Teh Botol Sosro,Sponsor,Food & Beverage,"Teh Botol Sosro, Indonesia's iconic bottled tea beverage, has been a beloved part of Indonesian culture for over 50 years. With its signature refreshing taste and unwavering commitment to quality, Teh Botol Sosro has become a household name, synonymous with authentic Indonesian tea enjoyment.

Teh Botol Sosro's success lies in its unique blend of Indonesian black tea and natural ingredients, resulting in a distinctively flavorful and refreshing beverage. The brand has consistently maintained its high standards of quality, ensuring that each bottle delivers the same authentic taste that has captivated generations of Indonesians."
Gojek,Sponsor,Technology Software,"Gojek, Southeast Asia's leading on-demand, multi-service tech platform, has revolutionized the way people live, work, and connect. Founded in 2010 with a focus on solving Jakarta's ever-present traffic problems, Gojek started as a call center with a fleet of only 20 motorcycle-taxi drivers (ojek). Today, Gojek has expanded to over 50 cities across Indonesia and Vietnam, offering a comprehensive range of services, including transportation, food delivery, payments, logistics, and many more. With a mission to create and scale up positive socio-economic impact, Gojek has empowered millions of drivers and merchants, fostering inclusive economic growth and transforming the lives of Indonesians and Vietnamese."
Grab,Sponsor,Technology Software,"Grab, Southeast Asia's leading superapp, has become the go-to platform for everyday services across the region. With a comprehensive suite of offerings, including ride-hailing, food delivery, e-payments, and more, Grab has transformed the way people live, work, and connect in over 400 cities across eight Southeast Asian countries. Founded in 2012 as a taxi-hailing app, Grab has evolved into a superapp that caters to diverse needs and preferences, simplifying daily tasks and enhancing convenience for millions of users."
OVO,Sponsor,Finance,"OVO, Indonesia's leading digital payment platform, has revolutionized the way people make transactions. Founded in 2017, OVO has quickly gained widespread adoption, becoming a ubiquitous part of Indonesian daily life. With a user-friendly interface, seamless integration with various merchants and services, and a commitment to security and convenience, OVO has empowered millions of Indonesians to embrace cashless transactions and simplify their financial interactions."
Unilever,Sponsor,Household,"Unilever, a global consumer goods corporation, has been a household name for over 90 years, offering a wide range of products that enhance everyday life. With a commitment to sustainability, innovation, and social responsibility, Unilever has established itself as a leading force in the consumer goods industry. From personal care products like Dove and Axe to food brands like Knorr and Lipton, Unilever's products are used by millions of people around the world."
Nestle,Sponsor,Food & Beverage,"Nestlé, a global food and beverage company, has been shaping the world's culinary landscape for over 150 years. With a presence in 188 countries, Nestlé's iconic brands, such as Nescafé, KitKat, and Maggi, are household names, synonymous with quality and innovation. Driven by its purpose of enhancing quality of life and contributing to a healthier future, Nestlé continuously pushes the boundaries of food and beverage science, creating products that are both delicious and nutritious.

Nestlé's commitment to sustainability is deeply ingrained in its operations, from sourcing ingredients responsibly to minimizing its environmental impact. The company strives to create shared value, not only for its consumers but also for the communities it serves and the planet as a whole. With a focus on nutrition, health, and wellness, Nestlé is dedicated to making a positive impact on the world, one sip and bite at a time."
Roma Sari Gandum,Sponsor,Food & Beverage,"Roma Sari Gandum is a popular Indonesian biscuit brand known for its wholesome and nutritious products. Introduced in 1977, Roma Sari Gandum has become a staple in many households, offering a delicious and satisfying snack that is also good for you.

Made with whole wheat flour and enriched with essential vitamins and minerals, Roma Sari Gandum biscuits provide a healthy dose of fiber and nutrients. They are also low in fat and cholesterol, making them a guilt-free indulgence. With a variety of flavors to choose from, including classic plain, chocolate sandwich, and fruit-filled varieties, Roma Sari Gandum caters to diverse tastes and preferences.

Roma Sari Gandum biscuits are not only tasty and nutritious, but they are also convenient and portable. They come in individually wrapped packs, making them ideal for on-the-go snacking or school lunches. Whether you're looking for a quick bite to satisfy your hunger or a nutritious snack to fuel your day, Roma Sari Gandum biscuits are a perfect choice."
Nabati,Sponsor,Food & Beverage,"Nabati Group is an Indonesian food and beverage company founded in 2002 with a focus on fast-moving consumer goods (FMCG), particularly food and soft drinks. The company initially started as a small-scale home-based snack food business. Over the years, Nabati has grown into a prominent player in the Indonesian FMCG industry, with a diverse portfolio of brands and products.

Nabati's commitment to quality and innovation has been instrumental in its success. The company continuously develops new and exciting products that cater to the evolving tastes and preferences of Indonesian consumers. Nabati's flagship brands, such as Richeese, Nabati Cheese Wafer, and Korean Goguma, have become household names in Indonesia, synonymous with delicious and affordable snacks.

In addition to its focus on consumer products, Nabati is also involved in the production of food ingredients and seasonings through its subsidiary, PT Kaldu Sari Nabati Indonesia. The company's products are widely used in the foodservice industry, supplying restaurants and food manufacturers with high-quality ingredients.

Nabati Group is a dynamic and forward-thinking company that is committed to providing quality products and services to its customers. With its strong focus on innovation, sustainability, and customer satisfaction, Nabati is poised for continued growth and success in the years to come."
BCA,Sponsor,Bank,"Bank Central Asia (BCA), officially known as PT Bank Central Asia Tbk, is the largest private bank in Indonesia with a significant presence in the nation's financial sector. Established in 1957, BCA has grown steadily over the years, becoming a cornerstone of Indonesia's economic development. Today, BCA boasts an extensive network of over 1,600 branches and 18,000 ATMs across the country, serving millions of individual and corporate customers.

BCA's comprehensive range of banking products and services caters to diverse needs, encompassing retail banking, corporate banking, treasury and international banking, and wealth management. The bank's commitment to innovation has led to the development of cutting-edge digital banking solutions, including mobile banking and internet banking platforms, providing customers with convenient and secure access to their finances.

BCA's success is built on a foundation of strong corporate governance, sound risk management practices, and a customer-centric approach. The bank is committed to social responsibility, actively supporting various initiatives that promote education, healthcare, and environmental sustainability. As Indonesia's largest private bank, BCA plays a pivotal role in driving financial inclusion and contributing to the nation's economic growth and prosperity."
Astra International,Sponsor,Automobiles & Components,"Astra International is a leading diversified conglomerate in Indonesia with a strong presence in various sectors, including automotive, agribusiness, heavy equipment, mining, energy, financial services, information technology, and infrastructure & logistics. Founded in 1957, Astra has grown into a formidable business empire, becoming one of the largest listed companies on the Indonesia Stock Exchange (IDX) with a total market capitalization of over seven percent.

Astra's automotive business is its core strength, holding a significant share of the Indonesian market through its partnerships with renowned brands such as Toyota, Daihatsu, Isuzu, UD Trucks, Peugeot, and BMW for automobiles, and Honda for motorcycles. Astra also has a strong presence in the automotive component sector through its subsidiary PT Astra Otoparts Tbk.

In addition to its automotive dominance, Astra has expanded its reach into other sectors, demonstrating its adaptability and strategic foresight. The company's agribusiness division, PT Astra Agro Lestari Tbk, is a major player in the palm oil industry, while its heavy equipment and mining division, PT United Tractors Tbk, is a leading distributor of Caterpillar products. Astra's financial services arm, PT Astra Sedaya Finance Tbk, provides a comprehensive range of financial solutions, and its information technology subsidiary, PT Astra Graphia Tbk, offers a diverse portfolio of IT services.

Astra International's commitment to sustainability is evident in its environmental initiatives, such as its adoption of energy-efficient practices and its support for renewable energy projects. The company also actively engages in social responsibility programs, focusing on education, healthcare, and community development."
Acer Inc,Sponsor,Technology Hardware,"Acer Incorporated, often simply referred to as Acer, is a Taiwanese multinational technology company specializing in hardware and software development and sales. Founded in 1976, Acer is one of the world's leading producers of personal computers, tablets, smartphones, and displays. The company is headquartered in New Taipei City, Taiwan, and has employees in over 100 countries and territories.

Acer's products are sold under its own brand name, as well as under various sub-brands, such as Predator, Nitro, and Aspire. The company's products have been praised for their value for money and their innovative design. Acer has been a major player in the personal computer market since the 1990s, and has consistently ranked among the top three PC vendors in the world. In recent years, Acer has expanded its product portfolio to include smartphones, tablets, and displays. The company has also been investing heavily in research and development, and is committed to developing new and innovative products.

Acer is a global company with a strong presence in all major markets. The company is committed to providing its customers with high-quality products and services at an affordable price. Acer is a leading innovator in the technology industry, and is committed to developing new and exciting products that meet the needs of its customers."
Kraft Heinz,Sponsor,Food & Beverage,"The Kraft Heinz Company is a global food and beverage company formed by the merger of Kraft Foods Group, Inc. and H.J. Heinz Company in 2015. The company is co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.

Kraft Heinz is one of the world's largest food and beverage companies, with a portfolio of iconic brands including Kraft, Heinz, Velveeta, Oscar Mayer, Planters, and Jell-O. The company has a strong presence in North America, Europe, and Latin America, and its products are sold in more than 200 countries.

Kraft Heinz is committed to providing consumers with high-quality, affordable food and beverages. The company is also dedicated to sustainability and social responsibility. Kraft Heinz has a number of initiatives in place to reduce its environmental impact and support communities around the world."
Paragon,Sponsor,Personal & Beauty,"Paragon Technology and Innovation is an Indonesian beauty company founded in 1995. The company is committed to creating innovative and high-quality beauty products that cater to the needs of Indonesian consumers. Paragon has a portfolio of over 30 brands, including Wardah, Make Over, Evos, and Biokos.

Paragon is a leading player in the Indonesian beauty industry, with a strong presence in both the mass and prestige segments. The company's products are sold in over 100,000 retail outlets across Indonesia. Paragon is also expanding its international presence, with products available in countries such as Malaysia, Vietnam, and Thailand.

Paragon is committed to innovation and research and development. The company has a team of over 100 scientists and researchers who are constantly developing new products and technologies. Paragon is also committed to sustainability and social responsibility. The company has implemented a number of initiatives to reduce its environmental impact and support communities around the world."
Trans 7,Sponsor,Media & Entertainment,"Trans7 is an Indonesian free-to-air television network owned by Trans Media, a part of Trans Corp, which in turn a subsidiary of CT Corp.

Founded in 2006, Trans7 is one of the most popular television networks in Indonesia, with a varied programming lineup that includes news, sports, entertainment, and documentaries. The network has a strong presence in the Indonesian market, with a network of over 100 transmitters and a reach of over 100 million viewers.

Trans7 is known for its innovative and creative programming. The network has a number of popular shows, including ""Lapor Pak!"", ""Trans7 Movie Box"", ""Sport 7"", and ""MotoGP"". Trans7 is also committed to providing high-quality news coverage. The network's news team is one of the largest in Indonesia, and its news programs are consistently ranked among the most watched in the country.

Trans7 has been recognized for its achievements with a number of awards, including the Indonesia Television Awards and the Panasonic Awards. The network is also a member of the Asia Vision Network, a regional television network that promotes cooperation and exchange among Asian broadcasters.

In addition to its television broadcasting business, Trans7 also has a number of other businesses, including a production company, an advertising agency, and a digital media company. The network is a major player in the Indonesian media industry, and its businesses employ thousands of people across the country.

Trans7 is committed to providing high-quality entertainment and information to Indonesian viewers. The network's innovative programming and strong brand recognition have made it one of the most popular television networks in the country. Trans7 is well-positioned for continued growth and success in the years to come."
PLN,Sponsor,Utilities,"The history of PT PLN (Persero) began on October 27, 1945, when President Soekarno formed the Electricity and Gas Bureau, which was under the Ministry of Public Works and Power, to manage the power plant that was owned at that time with a total capacity of 157.5 MW.

The company developed through several phases of changing forms until 1994, when, according to PP No. 23/1994, it became a limited liability company (Persero), PT Perusahaan Listrik Negara, or abbreviated as PT PLN (Persero), based on deed 169 dated July 30, 1994, from Notary Sutjipto.

As the business environment changes, at the end of 2022, PLN became a holding company overseeing four subholdings engaged in primary energy, generation, and beyond kWh while continuing to foster other subsidiaries."
Bank Rakyat Indonesia (BRI),Sponsor,Bank,"With over 120 years of experience, Bank BRI constantly provides ease and speed in response to the customer’s various demands. Backed by superior banking services, Bank BRI manages millions of customer transactions non-stop 24/7 through service facilities spread across the country.

In line with the nation’s growth, Bank BRI continues to dynamically innovate to fulfill all of the banking customer’s needs while, at the same time, consistently determined to become the main partner for Indonesians to develop the economy."
Bank Mandiri,Sponsor,Bank,"PT Bank Mandiri (Persero) Tbk or Bank Mandiri, headquartered in Jakarta, is the largest bank in Indonesia in terms of assets, loans and deposits. Total assets as of 2022, were 1.992 Trillion rupiah (around US$133 Billion). As of 2022, Bank Mandiri is the largest bank in Indonesia by total assets.

As of December 2022, the bank had 2,364 branches spread across three different time zones in Indonesia and 7 branches abroad, about 13,027 Automatic Teller Machines (ATMs), and 11 subsidiaries, such as: Mandiri Sekuritas, Mandiri Tunas Finance, AXA Mandiri Financial Services, Bank Mandiri Taspen, and Mandiri AXA General Insurance."
Telkom Indonesia,Sponsor,Telecommunication,"Telkom Indonesia is the largest telecommunications company in Indonesia and one of the largest in Southeast Asia. It is a state-owned enterprise that provides a wide range of telecommunications services, including fixed-line and mobile telephony, broadband internet, and pay-TV. Telkom Indonesia also plays a major role in the development of the digital economy in Indonesia.

Telkom Indonesia was established in 1965 and has since grown to become a leading provider of telecommunications services in Indonesia. It has a network of over 160,000 base transceiver stations (BTS) and over 10 million kilometers of fiber optic cable. Telkom Indonesia serves over 170 million customers, accounting for over 60% of the Indonesian telecommunications market share.

Telkom Indonesia is committed to empowering Indonesia's digital transformation. It invests heavily in digital infrastructure and services, and its vision is to become the leading digital ecosystem company in Southeast Asia. Telkom Indonesia's values are customer-centricity, innovation, agility, collaboration, and trustworthiness."
Bank Negara Indonesia (BNI),Sponsor,Bank,"Bank Negara Indonesia (BNI) is the largest bank in Indonesia by assets and the second largest bank in Southeast Asia. It is a state-owned bank that provides a wide range of banking services, including retail banking, corporate banking, and investment banking. BNI also plays a major role in the development of the digital economy in Indonesia.

BNI has over 1,500 branches and over 19,000 ATMs across Indonesia. It serves over 70 million customers, accounting for over 15% of the Indonesian banking market share. BNI is a major player in the development of financial inclusion in Indonesia. In 2022, over 50% of BNI's customers were micro, small, and medium enterprises (MSMEs). BNI is also a leader in the development of digital banking in Indonesia. In 2022, over 80% of BNI's transactions were conducted digitally.

BNI is committed to providing its customers with the best possible service and products. It is also committed to developing innovative and reliable ICT solutions to empower Indonesia's digital transformation. BNI is a leading bank in Indonesia and is playing a vital role in the country's economic development."
Air Asia,Sponsor,Airline,"AirAsia is a Malaysian low-cost airline headquartered in Kuala Lumpur, Malaysia. It is the largest airline in Southeast Asia by passengers carried and fleet size. AirAsia operates scheduled domestic and international flights to over 130 destinations in Asia, Australia, and the Middle East.

AirAsia is known for its low fares, innovative onboard services, and friendly cabin crew. The airline has won numerous awards for its service and innovation, including the World's Best Low-Cost Airline by Skytrax for 14 consecutive years and the World's Leading Low-Cost Airline Cabin Crew by the World Travel Awards for seven consecutive years.

AirAsia is committed to providing its customers with the best possible flying experience. The airline offers a variety of services and amenities to its passengers, including low fares, innovative onboard services, friendly and attentive cabin crew, and a wide range of destinations to choose from."
Mayora,Sponsor,Food & Beverage,"Mayora is one of the leading consumer goods companies in Indonesia. It produces a wide range of products, including biscuits, candies, wafers, chocolates, coffee, and nutritional products. Mayora's products are exported to over 90 countries around the world.

Mayora is committed to providing its customers with high-quality products and to contributing to the social and economic development of Indonesia. The company has a number of programs in place to support the environment and the communities in which it operates. For example, Mayora has planted over 1 million trees in Indonesia and has donated millions of dollars to support education and healthcare programs.

Mayora is a company with a strong track record of success. It is a leader in the Indonesian consumer goods market and is playing a major role in the country's economic development."
Indosat,Sponsor,Telecommunication,"Indosat IM3, officially known as PT Indosat Multimedia Mobile (Indosat-M3 or IM3), is a prominent telecommunications service provider in Indonesia. Established on July 25, 2001, IM3 was initially created to operate a nationwide GPRS network, a first of its kind in the country. In 2003, Indosat, the parent company, underwent a merger with its three subsidiaries—Satelindo, IM3, and Bimagraha—and subsequently emerged as a comprehensive mobile network operator"
RCTI,Sponsor,Media & Entertainment,"RCTI (Rajawali Citra Televisi Indonesia): RCTI is one of Indonesia's leading television networks, providing a diverse range of entertainment and informative content to a broad audience. Established in 1989, RCTI has become a prominent player in the Indonesian media landscape, offering a mix of local and international programming, including popular dramas, reality shows, and news broadcasts."
SCTV,Sponsor,Media & Entertainment,"SCTV (Surya Citra Televisi): SCTV is another major Indonesian television network known for its engaging and varied programming. Launched in 1990, SCTV has gained widespread popularity for its wide array of shows, including soap operas, music programs, and reality shows, contributing significantly to the country's television entertainment."
Menantea,Sponsor,Food & Beverage,"Menantea is a Multi Brand F&B Company resulting from the collaboration between Jerome Polin, Jehian Panangian Sijabat, Hendy Setiono, Sylvia Surya, and Bisma Adi Putra. It encompasses two brands, Menantea and Kumaw Ramen, in collaboration with Alshad Ahmad. With a presence in over 60 cities and 140 branches, the company has established a widespread network."
Head & Shoulders,Sponsor,Personal & Beauty,Head & Shoulders is a well-known brand of anti-dandruff shampoo produced by Procter & Gamble. It is widely recognized for its effective dandruff-fighting formula and is a popular choice for individuals seeking a solution to scalp issues.
Indomaret,Sponsor,Distribution & Retail,"Indomaret is a prominent Indonesian convenience store chain, offering a wide range of products and services to customers. Known for its accessibility and convenience, Indomaret stores are commonly found in urban and rural areas, providing everyday essentials, snacks, and various household items."
Alfamart,Sponsor,Distribution & Retail,"Alfamart is a leading Indonesian convenience store chain. It is recognized for its extensive network of stores, offering a convenient shopping experience with a diverse selection of products, including groceries, snacks, and personal care items."
Pertamina,Sponsor,Utilities,"Pertamina is Indonesia's state-owned oil and natural gas corporation. As a key player in the energy sector, Pertamina is involved in the exploration, production, refining, and distribution of oil and gas products, playing a crucial role in the country's energy infrastructure."
Tiket.com,Sponsor,Technology Software,"Tiket.com is an Indonesian online travel and lifestyle platform, providing services such as flight bookings, hotel reservations, event ticketing, and travel packages. It has become a popular choice for individuals seeking convenient and efficient online solutions for their travel and entertainment needs."
PT. Gratia Prima Indonesia,Sponsor,Distribution & Retail,"Books & Beyond formerly known as Times Bookstore. Books & Beyond managed by PT Gratia Prima Indonesia, a subsidiary of PT Multipolar Group, Tbk , a local multi format retailer in Indonesia. Times bookstores was first inaugurated in 2008 with the first store in Universitas Pelita Harapan, Lippo Karawaci, Tangerang. On October 10, 2012, Times bookstore changed its name to Books & Beyond."
PT. Bukaka Teknik Utama Tbk.,Sponsor,Industrials,"PT Bukaka Teknik Utama Tbk (BUKAKA) was established on October 25, 1978, and underwent significant changes over the years, including a reduction in authorized capital in 2011 from Rp2,000,000,000,000 to Rp1,352,000,000,000 and a stock nominal value change from Rp500 to Rp338 per share. Starting as a small motor vehicle workshop, BUKAKA evolved into a leader in the infrastructure and metal construction industry, with subsidiaries in mining, industry, trade, construction, service, and power generation. The company's commitment to quality and strategic partnerships earned it ISO 9001 and API certifications in 1995, and it continues to focus on efficiency, innovation, and future opportunities."
PT. Canon Division,Sponsor,Technology Hardware,"Canon first made its presence in Indonesia when it started to sell its products in 1976. Canon does not have an office in Indonesia and is currently working with authorised distributors to distribute the wide array of Canon products ranging from consumer to business and medical products.

Canon's activities in Indonesia are overseen by Canon Singapore Pte. Ltd., who is the regional headquarters for Canon in South & Southeast Asia. Canon Singapore drives sales, marketing and service strategies in the region and cover 24 markets including subsidiaries in India, Malaysia, Thailand and Vietnam."
Astra Honda,Sponsor,Automobiles & Components,"Astra Honda Motor, commonly known as Astra Honda, is a joint venture between Indonesia's Astra International and Honda Motor Company from Japan. Established in 1971, Astra Honda is a leading motorcycle manufacturer in Indonesia, producing a wide range of motorcycles for the domestic and international markets. The company has played a pivotal role in the growth of Indonesia's motorcycle industry and is known for its commitment to innovation, quality, and environmental sustainability. Astra Honda has consistently introduced popular and reliable models, contributing significantly to the country's transportation landscape."
Astra Financial,Sponsor,Finance,"Astra Financial is a division of Astra International, one of Indonesia's largest and most diversified conglomerates. Astra Financial encompasses a range of financial services, including banking, insurance, leasing, and asset management. The division plays a crucial role in providing comprehensive financial solutions to individuals and businesses across Indonesia. With a strong presence in the financial sector, Astra Financial is committed to fostering economic growth and financial inclusion by offering a broad array of services tailored to the diverse needs of its customers. The division's activities contribute to Astra International's overall strategy of providing integrated solutions across various industries in the Indonesian market."
DuPont,Sponsor,Materials,"DuPont, formally known as E. I. du Pont de Nemours and Company, is a renowned American conglomerate founded in 1802. With a rich history spanning over two centuries, DuPont has played a pivotal role in various industries, particularly in the fields of chemistry, materials science, and agriculture. The company is widely recognized for its pioneering innovations, including the development of synthetic materials like nylon and Teflon, as well as significant contributions to the advancement of crop protection and genetically modified organisms (GMOs) in agriculture. DuPont's enduring legacy includes a strong commitment to research and development, sustainability, and global outreach, making it a prominent figure in the world of science and industry."
PT. Astra Otoparts Tbk.,Sponsor,Automobiles & Components,"PT. Astra Otoparts Tbk, also known as Astra Otoparts, is an Indonesian automotive component manufacturing company that specializes in producing a wide range of automotive parts and components, including motorcycle and automotive spare parts, alloy wheels, and various other accessories. Established in 1976, it has grown to become one of the leading automotive component manufacturers in Indonesia and Southeast Asia. Astra Otoparts plays a crucial role in supporting the automotive industry by supplying high-quality components to both domestic and international markets, contributing significantly to the growth of the Indonesian automotive sector."
